Year,FMP Area,FMP Subarea,Reporting Area Code,Trip Target Code,Trip Target Name,Species Group Name,Retained/Discarded,Gear Code,Weight Posted (Sum),WED (mmdd)
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Discarded,TRW,3.5,602
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Discarded,TRW,1.18,714
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Retained,TRW,43.76,120
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Retained,TRW,7.43,602
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Retained,TRW,0.97,714
1991,BSAI,BS,511,,,Pollock,Discarded,POT,0.24,1006
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,37,106
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,145.94,113
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,121.68,120
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,73.47,127
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,153.5,203
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,466.83,210
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,366.37,217
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,1355.38,224
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,2015.61,303
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,130.9,310
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,98.3,317
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,55,331
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,225.17,407
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,447.18,414
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,428.2,421
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,155.33,428
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,292.75,505
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,135.43,512
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,12.5,519
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,3.2,526
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,104,609
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,120.68,616
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,32.7,623
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,42.2,630
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,30,707
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,20.4,721
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,51.62,804
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,3.01,811
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,3.5,818
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,10.54,901
1991,BSAI,BS,511,,,Pollock,Discarded,TRW,0.1,915
1991,BSAI,BS,511,,,Pollock,Retained,TRW,160.28,106
1991,BSAI,BS,511,,,Pollock,Retained,TRW,2785.54,113
1991,BSAI,BS,511,,,Pollock,Retained,TRW,2362.3,120
1991,BSAI,BS,511,,,Pollock,Retained,TRW,7276.8,127
1991,BSAI,BS,511,,,Pollock,Retained,TRW,4304.51,203
1991,BSAI,BS,511,,,Pollock,Retained,TRW,4234.4,210
