spp_file,Alt,Year,variable,value
EBS_Pollock_2023,4,2027,C_median,849.111
EBS_Pollock_2023,4,2027,C_mean,860.876
EBS_Pollock_2023,4,2027,C_sd,44.8239
EBS_Pollock_2023,4,2028,C_lb,779.995
EBS_Pollock_2023,4,2028,C_ub,1035.29
EBS_Pollock_2023,4,2028,C_median,859.638
EBS_Pollock_2023,4,2028,C_mean,879.532
EBS_Pollock_2023,4,2028,C_sd,84.2135
EBS_Pollock_2023,4,2029,C_lb,764.886
EBS_Pollock_2023,4,2029,C_ub,1156.55
EBS_Pollock_2023,4,2029,C_median,895.252
EBS_Pollock_2023,4,2029,C_mean,919.133
EBS_Pollock_2023,4,2029,C_sd,131.281
EBS_Pollock_2023,4,2030,C_lb,742.535
EBS_Pollock_2023,4,2030,C_ub,1271
EBS_Pollock_2023,4,2030,C_median,931.146
EBS_Pollock_2023,4,2030,C_mean,960.121
EBS_Pollock_2023,4,2030,C_sd,174.117
EBS_Pollock_2023,4,2031,C_lb,708.74
EBS_Pollock_2023,4,2031,C_ub,1356.57
EBS_Pollock_2023,4,2031,C_median,954.15
EBS_Pollock_2023,4,2031,C_mean,986.038
EBS_Pollock_2023,4,2031,C_sd,214.294
EBS_Pollock_2023,4,2032,C_lb,685.614
EBS_Pollock_2023,4,2032,C_ub,1404.07
EBS_Pollock_2023,4,2032,C_median,973.715
EBS_Pollock_2023,4,2032,C_mean,1000.66
EBS_Pollock_2023,4,2032,C_sd,235.565
EBS_Pollock_2023,4,2033,C_lb,683.536
EBS_Pollock_2023,4,2033,C_ub,1415.25
EBS_Pollock_2023,4,2033,C_median,983.654
EBS_Pollock_2023,4,2033,C_mean,1009.4
EBS_Pollock_2023,4,2033,C_sd,242.128
EBS_Pollock_2023,4,2034,C_lb,681.508
EBS_Pollock_2023,4,2034,C_ub,1449.77
EBS_Pollock_2023,4,2034,C_median,979.878
EBS_Pollock_2023,4,2034,C_mean,1013.05
EBS_Pollock_2023,4,2034,C_sd,244.354
EBS_Pollock_2023,4,2035,C_lb,678.661
EBS_Pollock_2023,4,2035,C_ub,1445.07
EBS_Pollock_2023,4,2035,C_median,979.059
EBS_Pollock_2023,4,2035,C_mean,1013.94
EBS_Pollock_2023,4,2035,C_sd,245.714
EBS_Pollock_2023,4,2036,C_lb,681.583
EBS_Pollock_2023,4,2036,C_ub,1450.84
EBS_Pollock_2023,4,2036,C_median,978.695
EBS_Pollock_2023,4,2036,C_mean,1011.77
EBS_Pollock_2023,4,2036,C_sd,241.91
EBS_Pollock_2023,4,2037,C_lb,678.369
EBS_Pollock_2023,4,2037,C_ub,1432.84
EBS_Pollock_2023,4,2037,C_median,965.65
EBS_Pollock_2023,4,2037,C_mean,1010.91
EBS_Pollock_2023,4,2037,C_sd,241.329
EBS_Pollock_2023,4,2024,SSB_lb,3418.67
EBS_Pollock_2023,4,2024,SSB_ub,3418.67
EBS_Pollock_2023,4,2024,SSB_median,3418.67
EBS_Pollock_2023,4,2024,SSB_mean,3418.67
EBS_Pollock_2023,4,2025,SSB_lb,3110.38
EBS_Pollock_2023,4,2025,SSB_ub,3110.39
EBS_Pollock_2023,4,2025,SSB_median,3110.38
EBS_Pollock_2023,4,2025,SSB_mean,3110.38
EBS_Pollock_2023,4,2026,SSB_lb,2934.15
EBS_Pollock_2023,4,2026,SSB_ub,2947.48
EBS_Pollock_2023,4,2026,SSB_median,2937.59
EBS_Pollock_2023,4,2026,SSB_mean,2938.85
EBS_Pollock_2023,4,2027,SSB_lb,2859.37
EBS_Pollock_2023,4,2027,SSB_ub,3371.66
EBS_Pollock_2023,4,2027,SSB_median,2990.13
EBS_Pollock_2023,4,2027,SSB_mean,3040.24
EBS_Pollock_2023,4,2028,SSB_lb,2673.16
EBS_Pollock_2023,4,2028,SSB_ub,4103.74
EBS_Pollock_2023,4,2028,SSB_median,3082.91
EBS_Pollock_2023,4,2028,SSB_mean,3192.58
EBS_Pollock_2023,4,2029,SSB_lb,2508.61
EBS_Pollock_2023,4,2029,SSB_ub,4581.03
EBS_Pollock_2023,4,2029,SSB_median,3179.52
EBS_Pollock_2023,4,2029,SSB_mean,3326.01
EBS_Pollock_2023,4,2030,SSB_lb,2409.65
EBS_Pollock_2023,4,2030,SSB_ub,4860.94
EBS_Pollock_2023,4,2030,SSB_median,3272.61
EBS_Pollock_2023,4,2030,SSB_mean,3417.08
EBS_Pollock_2023,4,2031,SSB_lb,2332.19
EBS_Pollock_2023,4,2031,SSB_ub,4957.28
EBS_Pollock_2023,4,2031,SSB_median,3392.13
EBS_Pollock_2023,4,2031,SSB_mean,3487.5
EBS_Pollock_2023,4,2032,SSB_lb,2310.71
EBS_Pollock_2023,4,2032,SSB_ub,5058.35
EBS_Pollock_2023,4,2032,SSB_median,3422.6
EBS_Pollock_2023,4,2032,SSB_mean,3529.21
EBS_Pollock_2023,4,2033,SSB_lb,2320.67
EBS_Pollock_2023,4,2033,SSB_ub,5188.53
EBS_Pollock_2023,4,2033,SSB_median,3403.9
EBS_Pollock_2023,4,2033,SSB_mean,3540.9
EBS_Pollock_2023,4,2034,SSB_lb,2298.55
EBS_Pollock_2023,4,2034,SSB_ub,5224.75
EBS_Pollock_2023,4,2034,SSB_median,3388.63
EBS_Pollock_2023,4,2034,SSB_mean,3543.29
EBS_Pollock_2023,4,2035,SSB_lb,2290.52
EBS_Pollock_2023,4,2035,SSB_ub,5234.9
EBS_Pollock_2023,4,2035,SSB_median,3390.18
EBS_Pollock_2023,4,2035,SSB_mean,3534.24
EBS_Pollock_2023,4,2036,SSB_lb,2317.63
EBS_Pollock_2023,4,2036,SSB_ub,5144.87
EBS_Pollock_2023,4,2036,SSB_median,3364.45
EBS_Pollock_2023,4,2036,SSB_mean,3529.87
EBS_Pollock_2023,4,2037,SSB_lb,2322.58
EBS_Pollock_2023,4,2037,SSB_ub,5179.77
EBS_Pollock_2023,4,2037,SSB_median,3371.19
EBS_Pollock_2023,4,2037,SSB_mean,3538.04
EBS_Pollock_2023,4,2024,F_lb,0.232579
EBS_Pollock_2023,4,2024,F_ub,0.232579
EBS_Pollock_2023,4,2024,F_median,0.232579
EBS_Pollock_2023,4,2024,F_mean,0.232579
EBS_Pollock_2023,4,2025,F_lb,0.224215
EBS_Pollock_2023,4,2025,F_ub,0.224219
EBS_Pollock_2023,4,2025,F_median,0.224218
EBS_Pollock_2023,4,2025,F_mean,0.224218
EBS_Pollock_2023,4,2026,F_lb,0.155832
EBS_Pollock_2023,4,2026,F_ub,0.155832
EBS_Pollock_2023,4,2026,F_median,0.155832
EBS_Pollock_2023,4,2026,F_mean,0.155832
